Harvest_year,Company,Tobacco_Type,Class,R$_Kg
2021_2022,UTC,Virginia,B K,6.48
2021_2022,UTC,Virginia,C O 1,13.95
2021_2022,UTC,Virginia,C O 2,12.02
2021_2022,UTC,Virginia,C O 3,9.37
2021_2022,UTC,Virginia,C R 1,9.51
2021_2022,UTC,Virginia,C R 2,6.64
2021_2022,UTC,Virginia,C R 3,4.23
2021_2022,UTC,Virginia,C L 1,10.18
2021_2022,UTC,Virginia,C L 2,8.23
2021_2022,UTC,Virginia,C K,5.24
2021_2022,UTC,Virginia,X O 1,11.97
2021_2022,UTC,Virginia,X O 2,10.04
2021_2022,UTC,Virginia,X O 3,7.99
2021_2022,UTC,Virginia,X R 1,8.59
2021_2022,UTC,Virginia,X R 2,5.43
2021_2022,UTC,Virginia,X R 3,3.16
2021_2022,UTC,Virginia,X L 1,8.94
2021_2022,UTC,Virginia,X L 2,7.32
